Brian O'Halloran,clerks
Johnny Depp,don juan demarco
Michael Douglas,disclosure
Patsy Kensit,dream man
Wesley Snipes,drop zone
Dylan McDermott,destiny turns on the radio
Sigourney Weaver,death and the maiden
Kathy Bates,dolores claiborne
Jim Carrey,dumb and dumber
Sihung Lung,eat drink man woman
Bruce Greenwood,exotica
Dana Delany,exit to eden
Johnny Depp,ed wood
Meg Ryan,french kiss
Billy Crystal,forget paris
Mimi Rogers,far from home: the adventures of yellow dog
Bill Farmer,a goofy movie
Jeff Goldblum,hideaway
Stefano Dionisi,farinelli
Ice Cube,the glass shield
William Gates,hoop dreams
Melanie Lynskey,heavenly creatures
Sinbad,houseguest
Gary Oldman,immortal beloved
Tim Robbins,i.q.
Brad Pitt,interview with the vampire
Nick Nolte,jefferson in paris
John G. Brennan,the jerky boys
Sean Connery,just cause
Thomas Ian Nicholas,a kid in king arthur's court
Mark Hamill,star wars
Crissy Rock,ladybird ladybird
Emmanuelle Béart,l'enfer
Marco Leonardi,like water for chocolate
Brad Pitt,legends of the fall
Damon Wayans,major payne
Edward Furlong,little odessa
Angel Aviles,mi vida loca
Jessica Lange,losing isaiah
Nigel Hawthorne,the madness of king george
Robert De Niro,mary shelley's frankenstein
Steve Martin,mixed nuts
Melanie Griffith,milk money
Sarah Jessica Parker,miami rhapsody
Edward James Olmos,my family
Christian Slater,murder in the first
Jodie Foster,nell
Sharron Corley,new jersey drive
Toru Nakamura,new york cop
Elizabeth Hurley,beyond bedlam
Sue Price,nemesis 2 - nebula
Laura San Giacomo,nina takes a lover
Woody Harrelson,natural born killers
Marisa Tomei,only you
Rena Owen,once were warriors
Alyssa Milano,poison ivy ii: lily
Dustin Hoffman,outbreak
Jean Reno,leon: the professional
Marisa Tomei,the perez family
William Baldwin,a pyromaniac's love story
John Travolta,pulp fiction
Kadeem Hardison,panther
Sihung Lung,pushing hands
John Turturro,quiz show
Youki Kudoh,picture bride
Isabelle Adjani,queen margot
Peter Falk,roommates
Marcello Mastroianni,prêt-à-porter
Irène Jacob,three colors: red
Juliette Binoche,three colors: blue
Zbigniew Zamachowski,three colors: white
Leslie Nielsen,rent-a-kid
Darlanne Fluegel,relative fear
Al Franken,stuart saves his family
Michelle Nicastro,the swan princess
Jeni Courtney,the secret of roan inish
Sylvester Stallone,the specialist
Kurt Russell,stargate
Tim Allen,the santa clause
Tim Robbins,the shawshank redemption
Kerry Fox,shallow grave
Dennis Haysbert,suture
Jorge Perugorría,strawberry and chocolate
Kevin Spacey,swimming with sharks
Jack Thompson,the sum of us
Matt Frewer,senior trip
Ge You,to live
Lori Petty,tank girl
Billy Zane,tales from the crypt: demon knight
Patrick Stewart,star trek: generations
Clarence Williams III,tales from the hood
Willem Dafoe,tom & viv
Chris Farley,tommy boy
Wallace Shawn,vanya on 42nd street
Johnny Depp,what's eating gilbert grape
Denzel Washington,virtuosity
Sandra Bullock,while you were sleeping
Sandra Oh,double happiness
Toni Collette,muriel's wedding
Schuyler Fisk,the baby-sitters club
Jim Carrey,ace ventura: pet detective
Terence Stamp,"the adventures of priscilla, queen of the desert"
Stephen Dorff,backbeat
Hugh Grant,bitter moon
John Cusack,bullets over broadway
Harrison Ford,clear and present danger
Whoopi Goldberg,"corrina, corrina"
Alfre Woodard,crooklyn
Brandon Lee,the crow
Tommy Lee Jones,cobb
John Goodman,the flintstones
Tom Hanks,forrest gump
Hugh Grant,four weddings and a funeral
Omar Epps,higher learning
Lauren Vélez,i like it like that
Nicolas Cage,it could happen to you
Leni Riefenstahl,"the wonderful, horrible life of leni riefenstahl"
Jonathan Taylor Thomas,the lion king
Keanu Reeves,little buddha
Heather Langenkamp,new nightmare
Mel Gibson,maverick
Jennifer Jason Leigh,mrs. parker and the vicious circle
Leslie Nielsen,the naked gun 33⅓: the final insult
Michael Keaton,the paper
Winona Ryder,reality bites
Nicolas Cage,red rock west
Macaulay Culkin,ri¢hie ri¢h
Susan Sarandon,safe passage
Meryl Streep,the river wild
Keanu Reeves,speed
Michael Keaton,speechless
Jean-Claude Van Damme,timecop
Arnold Schwarzenegger,true lies
Andy García,when a man loves a woman
Kevin Costner,wyatt earp
Albert Finney,a man of no importance
Stephen Dorff,s.f.w.
Keenen Ivory Wayans,a low down dirty shame
James Andrews,"boys life: three stories of love, lust, and liberation"
Gérard Depardieu,colonel chabert
Tura Satana,"faster, pussycat! kill! kill!"
Allen Payne,jason's lyric
Nick Upton,the secret adventures of tom thumb
Jean-Claude Van Damme,street fighter
Michael J. Fox,coldblooded
Steve Alden,fall time
Eddie Bowz,the fear
Эрика Элениак,girl in the cadillac
Blythe Danner,homage
Christopher Lambert,highlander: the final dimension
Sam Neill,in the mouth of madness
Luke Perry,8 seconds
Duane Martin,above the rim
Raúl Juliá,addams family values
Brendan Fraser,airheads
Kevin Bacon,the air up there
Richard Dreyfuss,another stakeout
Taylor Nichols,barcelona
Robin Williams,being human
Jim Varney,the beverly hillbillies
Eddie Murphy,beverly hills cop iii
Madeleine Stowe,blink
Nick Nolte,blue chips
Jessica Lange,blue sky
Gabrielle Anwar,body snatchers
Julian Sands,boxing helena
Robert De Niro,a bronx tale
Chris Elliott,cabin boy
Jason Priestley,calendar girl
Al Pacino,carlito's way
Billy Crystal,city slickers ii: the legend of curly's gold
Dana Carvey,clean slate
Sylvester Stallone,cliffhanger
Robert Knott,coneheads
Bruce Willis,color of night
Chevy Chase,cops & robbersons
Woody Harrelson,the cowboy way
Harvey Keitel,dangerous game
Kevin Kline,dave
Jason London,dazed and confused
Sylvester Stallone,demolition man
Uma Thurman,even cowgirls get the blues
Armand Assante,fatal instinct
Leslie Cheung,farewell my concubine
Harley Jane Kozak,the favor
Larry B. Scott,fear of a black hat
Joe Pesci,with honors
Meg Ryan,flesh and bone
Mia Farrow,widows' peak
Jason James Richter,free willy
Jason Patric,geronimo: an american legend
Macaulay Culkin,getting even with dad
Guinevere Turner,go fish
Colin Friels,a good man in africa
Rebecca De Mornay,guilty as sin
Jean-Claude Van Damme,hard target
Tommy Lee Jones,heaven & earth
Charlie Sheen,hot shots! part deux
Dana Delany,live nude girls
Hugh Grant,the englishman who went up a hill but came down a mountain
Meryl Streep,the house of the spirits
Bernie Mac,house party 3
Tim Robbins,the hudsucker proxy
Nick Nolte,i'll do anything
Pauly Shore,in the army now
Clint Eastwood,in the line of fire
Daniel Day-Lewis,in the name of the father
Larenz Tate,the inkwell
Angela Bassett,what's love got to do with it
Joe Pesci,jimmy hollywood
Emilio Estevez,judgment night
Sam Neill,jurassic park
Brad Pitt,kalifornia
Eric Stoltz,killing zoe
Jesse Bradford,king of the hill
Arnold Schwarzenegger,last action hero
Michael J. Fox,life with mikey
Paul Hogan,lightning jack
Jeremy Irons,m. butterfly
Whoopi Goldberg,made in america
Alec Baldwin,malice
Woody Allen,manhattan murder mystery
Tyrin Turner,menace ii society
Kurt Russell,executive decision
Eiko Matsuda,in the realm of the senses
Matt Dillon,mr. wonderful
Robin Williams,mrs. doubtfire
Pat Morita,the next karate kid
Peter Weller,the new age
Tilda Swinton,orlando
Kevin Costner,a perfect world
Tom Hanks,philadelphia
Holly Hunter,the piano
Janet Jackson,poetic justice
Donald Sutherland,the puppet masters
Brian Benben,radioland murders
Denis Leary,the ref
Anthony Hopkins,the remains of the day
Danny DeVito,renaissance man
Sean Connery,rising sun
Anthony Hopkins,the road to wellville
Robert John Burke,robocop 3
Cary Elwes,robin hood: men in tights
Gary Oldman,romeo is bleeding
Russell Crowe,romper stomper
Ashley Judd,ruby in paradise
Sean Astin,rudy
Danny Glover,the saint of fort washington
Cyril Collard,savage nights
Liam Neeson,schindler's list
Brendan Fraser,the scout
Max Pomeranc,searching for bobby fischer
William Hurt,second best
Kathleen Turner,serial mom
Alec Baldwin,the shadow
Anthony Hopkins,shadowlands
Julianne Moore,short cuts
Steve Martin,a simple twist of fate
Hugh Grant,sirens
Will Smith,six degrees of separation
Tom Hanks,sleepless in seattle
Sharon Stone,sliver
Harrison Ford,blade runner
Pauly Shore,son in law
Mike Myers,so i married an axe murderer
Bruce Willis,striking distance
Nastassja Kinski,harem
Bob Hoskins,super mario bros.
Ice-T,surviving the game
Charlie Sheen,terminal velocity
Colm Feore,thirty two short films about glenn gould
Josh Charles,threesome
Danny Elfman,the nightmare before christmas
Kurt Russell,tombstone
William Hurt,trial by jury
Christian Slater,true romance
James Carville,the war room
Macaulay Culkin,the pagemaster
Leslie Hope,"paris, france"
Anthony LaPaglia,killer
Heather Matarazzo,welcome to the dollhouse
Miou-Miou,germinal
Tom Berenger,chasers
Federico Luppi,cronos
Eric Stoltz,naked in new york
Verónica Forqué,kika
Kim Vithana,bhaji on the beach
Luke Edwards,little big league
Stellan Skarsgård,the slingshot
Julie Walters,wide eyed and legless
Robin Givens,foreign student
Paolo Villaggio,"ciao, professore!"
Jeremy Davies,spanking the monkey
Bug Hall,the little rascals
Jean Yanne,à la mode
Tina Majorino,andre
Jim Broadbent,princess caraboo
Lily Tomlin,the celluloid closet
Vincent Cassel,café au lait
Nanni Moretti,dear diary
Marcello Mastroianni,i don't want to talk about it
Shelley Long,the brady bunch movie
Macaulay Culkin,home alone
Arnold Schwarzenegger,terminator 2: judgment day
Kevin Costner,dances with wolves
Roddy Piper,tough and deadly
Jodie Foster,the silence of the lambs
Adriana Caselotti,snow white and the seven dwarfs
Julia Roberts,pretty woman
Viktor Mikhaylov,window to paris
William Holden,the wild bunch
Gil Bellows,love and a .45
Gu Bao-Ming,the wooden man's bride
Matthew Modine,bye bye love
Michelle Pfeiffer,one fine day
Tony Todd,candyman: farewell to the flesh
Charles Dance,century
William H. Macy,fargo
Michael J. Fox,homeward bound ii: lost in san francisco
Rodger Bumpass,heavy metal
Bruce Ramsay,hellraiser: bloodline
David Schwimmer,the pallbearer
Nino Manfredi,bread and chocolate
Phil Harris,the aristocats
Marisa Paredes,the flower of my secret
Antonio Banderas,two much
Matt LeBlanc,ed
Donald Sutherland,scream of stone
Daniel Auteuil,my favorite season
James Russo,condition red
Selim Boughedir,halfaouine: boy of the terraces
Lynn Whitfield,a thin line between love and hate
Cameron Diaz,the last supper
Richard Gere,primal fear
Dennis Hopper,carried away
Ernest Borgnine,all dogs go to heaven 2
Ian Hart,land and freedom
Tim Daly,denise calls up
Whoopi Goldberg,theodore rex
Robert Duvall,a family thing
Michael Gunther,frisk
Steve Martin,sgt. bilko
Richard E. Grant,jack & sarah
Theresa Randle,girl 6
Patrick Timsit,"little indian, big city"
Anica Dobra,roula
Ulrich Mühe,peanuts – die bank zahlt alles
Emmanuelle Béart,nelly and monsieur arnaud
Denzel Washington,courage under fire
Tom Cruise,mission: impossible
Masatoshi Nagase,cold fever
Robin Wright,moll flanders
Veronica Ferres,the superwife
Pang Eun-jin,"301, 302"
Dennis Quaid,dragonheart
Peter Ketnath,und keiner weint mir nach
George Tabori,my mother's courage
Whoopi Goldberg,eddie
Leon Schuster,yankee zulu
Alain Delon,purple noon
Miriam Margolyes,james and the giant peach
Dave Foley,kids in the hall: brain candy
Cher,faithful
Johan Widerberg,all things fair
Daniel Bernhardt,bloodsport ii
Kanu Bannerjee,pather panchali
Soumitra Chatterjee,the world of apu
Michael J. Nelson,mystery science theater 3000: the movie
Michael Jordan,space jam
Jane Fonda,barbarella
Tia Carrere,hostile intentions
Donna Frotscher,they bite
Billy Bob Thornton,some folks call it a sling blade
Albert Finney,the run of the country
Eddie Constantine,alphaville
Philippe Noiret,coup de torchon
Talia Shire,windows
Eric Roberts,it's my party
Greta Scacchi,country life
Danny Glover,operation dumbo drop
Shirley MacLaine,mrs. winterbourne
Keanu Reeves,feeling minnesota
Audie England,delta of venus
Perry Anzilotti,angus
Jan Decleir,priest daens
Gena Rowlands,faces
Jean-Claude Van Damme,the quest
Ben Mendelsohn,cosi
Rhea Perlman,sunset park
Nick Nolte,mulholland falls
Uma Thurman,the truth about cats & dogs
Joey Lawrence,oliver & company
Damon Wayans,celtic pride
Julia Ormond,captives
Jennifer Connelly,of love and shadows
Johnny Depp,dead man
Juliette Binoche,the horseman on the roof
Joanne Nail,switchblade sisters
Michael Keaton,multiplicity
Maila Nurmi,"the haunted world of edward d. wood, jr."
Robin Tunney,the craft
Samuel L. Jackson,the great white hype
Sharon Stone,last dance
Eileen Atkins,cold comfort farm
Alice Krige,"institute benjamenta, or this dream people call human life"
Alec Baldwin,heaven's prisoners
Fred Williamson,original gangstas
Sean Connery,the rock
Jack Lemmon,getting away with murder
Rupert Everett,cemetery man
Pamela Anderson,barb wire
Gérard Depardieu,le garçu
Robert John Burke,thinner
Leslie Nielsen,spy hard
Om Puri,brothers in trouble
John Garfield,force of evil
Tom Arnold,the stupids
Charlie Sheen,the arrival
Charles Laughton,the man from down under
Peter Sellers,dr. strangelove or: how i learned to stop worrying and love the bomb
Kyle McCulloch,careful
Vanessa Redgrave,a month by the lake
Christina Ricci,gold diggers: the secret of bear mountain
Errol Flynn,kim
Carmen Miranda,carmen miranda: bananas is my business
Leslie Cheung,ashes of time
Demi Moore,striptease
Catherine O'Hara,the last of the high kings
Liv Tyler,heavy
Lili Taylor,i shot andy warhol
Piper Laurie,the grass harp
Tom Conti,someone else's america
Papa Wemba,life is rosy
Magaye Niang,touki bouki
Serge Yanogo,god's gift
Brigitte Bardot,spirits of the dead
Chris Cooper,pharaoh's  army
Ewan McGregor,trainspotting
Sarah Jessica Parker,til there was you
Will Smith,independence day
Liv Tyler,stealing beauty
Jim Carrey,the cable guy
Woody Harrelson,kingpin
Arnold Schwarzenegger,eraser
Assumpta Serna,"i, the worst of all"
Kristin Scott Thomas,an unforgettable summer
Rosie Perez,somebody to love
Robert McLane,a very natural thing
Jeanne Moreau,the old lady who walked in the sea
Michael J. Fox,the frighteners
Chris Cooper,lone star
Michelle Trachtenberg,harriet the spy
John Travolta,phenomenon
Catherine Keener,walking and talking
Edward Burns,she's the one
Matthew McConaughey,a time to kill
Dustin Hoffman,american buffalo
Clara Bellar,rendezvous in paris
Thora Birch,alaska
Laurence Fishburne,fled
Shaquille O'Neal,kazaam
Bill Murray,larger than life
Eric Roberts,power 98
Sônia Braga,two deaths
Shelley Long,a very brady sequel
Maurizio Nichetti,stefano quantestorie
Simone Signoret,death in the garden
Huw Garmon,hedd wyn
Patrick Bauchau,la collectionneuse
André Eisermann,kaspar hauser
Christoph M. Ohrt,regular guys
Christiane Hörbiger,diebinnen
Martin Landau,the adventures of pinocchio
Jerry O'Connell,joe's apartment
Goldie Hawn,the first wives club
Jon Lovitz,high school high
Jermaine 'Huggy' Hopkins,phat beach
Vincent Pérez,the crow: city of angels
Jamie Lee Curtis,house arrest
Pierre Brasseur,eyes without a face
Dennis Miller,bordello of blood
Paul Austin,flirt
Lara Flynn Boyle,the big squeeze
Alison Elliott,the spitfire grill
Kurt Russell,escape from l.a.
Le Van Loc,cyclo
Jeffrey Wright,basquiat
Kevin Costner,tin cup
Colin Friels,dingo
Nathalie Baye,every other weekend
Marlon Brando,the godfather
Til Schweiger,maybe... maybe not
Jackie Chan,police story 3: supercop
Mary Kay Place,manny & lo
Mieko Takamine,wife
Tom Arnold,carpool
Sam Neill,death in brunswick
Jennifer Jason Leigh,kansas city
Joe Pesci,gone fishin'
Billy Campbell,lover's knot
Lee Kang-Sheng,vive l'amour
Ingrid Caven,shadow of angels
James Woods,killer: a journal of murder
Michelle Yeoh,project s
Penelope Ann Miller,the relic
Sinbad,first kid
Kyle MacLachlan,the trigger effect
Whoopi Goldberg,bogus
Polly Walker,talk of angels
Scott McAfee,the land before time iii: the time of the great giving
Donald Pleasence,halloween: the curse of michael myers
Helena Bonham Carter,twelfth night
Nick Nolte,mother night
Paul Hörbiger,liebelei
Marcin Walewski,venice
Gaël Morel,wild reeds
Gary Cooper,for whom the bell tolls
Katharine Hepburn,the philadelphia story
Gene Kelly,singin' in the rain
Gene Kelly,an american in paris
Audrey Hepburn,funny face
Audrey Hepburn,breakfast at tiffany's
James Stewart,vertigo
Clark Gable,it happened one night
Fred Astaire,the gay divorcee
Cary Grant,north by northwest
Marilyn Monroe,some like it hot
Cary Grant,charade
Humphrey Bogart,casablanca
Audrey Hepburn,my fair lady
Humphrey Bogart,sabrina
Gregory Peck,roman holiday
Shirley Temple,the little princess
Judy Garland,meet me in st. louis
Vivien Leigh,gone with the wind
Peter O'Toole,my favorite year
William Holden,sunset boulevard
Orson Welles,citizen kane
Keir Dullea,2001: a space odyssey
Ray Milland,golden earrings
Bette Davis,all about eve
Laurence Olivier,rebecca
Joel McCrea,foreign correspondent
Cary Grant,an affair to remember
Cary Grant,to catch a thief
Fred Astaire,the band wagon
Greta Garbo,ninotchka
Rex Harrison,the reluctant debutante
Errol Flynn,the adventures of robin hood
Gene Tierney,laura
Gene Tierney,the ghost and mrs. muir
Fred Astaire,top hat
James Dean,east of eden
William Powell,the thin man
Cary Grant,his girl friday
David Niven,around the world in eighty days
James Stewart,it's a wonderful life
James Stewart,mr. smith goes to washington
Katharine Hepburn,bringing up baby
Irene Dunne,penny serenade
Barbara Stanwyck,lady of burlesque
Leslie Howard,of human bondage
Paul Muni,angel on my shoulder
John Garfield,they made me a criminal
Danny Kaye,the inspector general
John Wayne,angel and the badman
Dana Andrews,a walk in the sun
Jane Russell,the outlaw
Humphrey Bogart,the african queen
Humphrey Bogart,beat the devil
Elizabeth Taylor,cat on a hot tin roof
Elizabeth Taylor,the last time i saw paris
Barbara Stanwyck,meet john doe
Charles Boyer,algiers
Helen Hayes,a farewell to arms
Chester Morris,moonlight murder
Michelle Yeoh,"yes, madam"
Ice Cube,dangerous ground
Adrian Pasdar,the pompatus of love
Jeff Daniels,fly away home
Illeana Douglas,grace of my heart
André Eisermann,brother of sleep
Jean-Claude Van Damme,maximum risk
Liam Neeson,michael collins
Clive Owen,the rich man's wife
Matthew Broderick,infinity
Stanley Tucci,big night
Jada Pinkett Smith,set it off
Danny Aiello,2 days in the valley
Bruce Ramsay,curdled
Michel Serrault,l'associé
Hugh Grant,extreme measures
Steven Seagal,the glimmer man
Emilio Estevez,d3: the mighty ducks
Chris O'Donnell,the chamber
Don Knotts,the apple dumpling gang
Fess Parker,"davy crockett, king of the wild frontier"
Helen Hayes,herbie rides again
Dorothy McGuire,old yeller
Michael J. Fox,homeward bound: the incredible journey
John Mills,swiss family robinson
Hayley Mills,that darn cat!
Leon Robinson,cool runnings
Sterling Holloway,winnie the pooh and the blustery day
Sterling Holloway,the three caballeros
Sebastian Cabot,the sword in the stone
Bobby Driscoll,so dear to my heart
Kevin Costner,robin hood: prince of thieves
Julie Andrews,mary poppins
Sterling Holloway,dumbo
Angela Lansbury,bedknobs and broomsticks
Mickey Rooney,the fox and the hound
Julie Andrews,the sound of music
Bruce Willis,die hard
Jeff Fahey,the lawnmower man
Gena Rowlands,unhook the stars
Bob Hoskins,the secret agent
Timothy Spall,secrets & lies
Tom Everett Scott,that thing you do!
Peter Gallagher,to gillian on her 37th birthday
Anthony Hopkins,surviving picasso
Angelina Jolie,love is all there is
Linda Henry,beautiful thing
Geena Davis,the long kiss goodnight
Michael Douglas,the ghost and the darkness
Al Pacino,looking for richard
Steve Buscemi,trees lounge
Jeanne Moreau,the proprietor
Ashley Judd,normal life
Ossie Davis,get on the bus
Charlie Sheen,shadow conspiracy
Kate Winslet,jude
Drew Barrymore,everyone says i love you
René Lavan,bitter sugar
Leonardo DiCaprio,romeo + juliet
Robert De Niro,sleepers
Woody Harrelson,the sunchaser
David Arquette,johns
Scott Weinger,aladdin and the king of thieves
Jean Kent,the woman in question
Fred Astaire,shall we dance
Fred Astaire,a damsel in distress
Robert Young,crossfire
Dick Powell,"murder, my sweet"
Robert Mitchum,macao
Russell Crowe,for the moment
Gene Wilder,willy wonka & the chocolate factory
Jean-Henri Compère,the sexual life of the belgians
Woody Allen,sleeper
Woody Allen,bananas
John Cleese,a fish called wanda
Graham Chapman,life of brian
Julie Andrews,victor/victoria
Jack Lemmon,the great race
Warren Beatty,bonnie and clyde
Ray Milland,dial m for murder
Harvey Keitel,reservoir dogs
Tom Berenger,platoon
Andrew McCarthy,weekend at bernie's
Michael Douglas,basic instinct
Val Kilmer,the doors
Stephen Rea,the crying game
Al Pacino,glengarry glen ross
Meryl Streep,sophie's choice
Henry Thomas,e.t. the extra-terrestrial
Holt McCallany,the search for one-eye jimmy
Tom Cruise,days of thunder
Tom Cruise,top gun
Luke Perry,american strays
James Dean,rebel without a cause
Vivien Leigh,a streetcar named desire
Naomi Watts,children of the corn iv: the gathering
Johannes Silberschneider,charm's  incidents
Boyan Milushev,bird of prey
William Forsythe,palookaville
Whoopi Goldberg,the associate
Josh Feldman,the sleepover
Virginie Ledoyen,a single girl
James Caan,north star
Richard Lewis,drunks
Woody Harrelson,the people vs. larry flynt
Ben Affleck,glory daze
Oliver North,a perfect candidate
Katharine Hepburn,on golden pond
Peter Sellers,the return of the pink panther
Phoebe Cates,drop dead fred
Kurt Russell,escape from new york
Patrick Macnee,the howling
Yves Montand,jean de florette
Armando Araiza,johnny 100 pesos
Goldie Hawn,private benjamin
Graham Chapman,monty python and the holy grail
Tony Ward,hustler white
Monica Bell,everything relative
Moira Kelly,entertaining angels - the dorothy day story
Marcello Mastroianni,three lives and only one death
Muhammad Ali,when we were kings
Gérard Depardieu,the return of martin guerre
Richard Basehart,he walked by night
Dennis O'Keefe,t-men
Emilio Cigoli,the children are watching us
Michèle Morgan,pastoral symphony
Charles Ruggles,six of a kind
Mario Adorf,the tin drum
Peter O'Toole,the ruling class
Joseph Gehrard,2 or 3 things i know about her
Greg Kinnear,dear god
Mariel Hemingway,bad moon
Jesse Jackson,american dream
Phillip Rhee,best of the best 3: no turning back
Tim Robbins,bob roberts
Philippe Noiret,cinema paradiso
Richard Bohringer,"the cook, the thief, his wife & her lover"
Michel Blanc,dead tired
Dominique Pinon,delicatessen
Irène Jacob,the double life of veronique
Kirk Douglas,paths of glory
Anjelica Huston,the grifters
Ned Beatty,hear my song
Michael Dudikoff,the shooter
Ralph Fiennes,the english patient
Diego Abatantuono,mediterraneo
Daniel Day-Lewis,my left foot: the story of christy brown
Andie MacDowell,"sex, lies, and videotape"
Mary McDonnell,passion fish
Paul Mercurio,strictly ballroom
Randall Adams,the thin blue line
Victoria Abril,tie me up! tie me down!
